website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Ge (ppm),Ge,element,27028,15433,0,11595,57.1,0,42.9
Ge-carb (ppm),Ge-carb,carbonate_proxy,299,0,0,299,0,0,100
Glauconite (wt%),Glauconite,mineralogy_composition,450,0,0,450,0,0,100
Gypsum (wt%),Gypsum,mineralogy_composition,103,0,0,103,0,0,100
Halite (wt%),Halite,mineralogy_composition,10,0,0,10,0,0,100
Hematite (wt%),Hematite,mineralogy_composition,272,0,0,272,0,0,100
Hf (ppm),Hf,element,44387,15342,0,29045,34.56,0,65.44
Hf-carb (ppm),Hf-carb,carbonate_proxy,299,93,0,206,31.1,0,68.9
Hg (ppm),Hg,element,17535,5658,63,11814,32.27,0.36,67.37
Ho (ppm),Ho,element,30927,13990,0,16937,45.24,0,54.76
Ho-carb (ppm),Ho-carb,carbonate_proxy,875,0,0,875,0,0,100
HREE (ppm),HREE,element,2326,0,0,2326,0,0,100
HREE-carb (ppm),HREE-carb,carbonate_proxy,55,0,0,55,0,0,100
Hydroxylapatite (wt%),Hydroxylapatite,mineralogy_composition,31,0,0,31,0,0,100
I/[Ca+Mg],I/[Ca+Mg],carbonate_proxy,596,0,0,596,0,0,100
I/Ca,I/Ca,carbonate_proxy,361,0,0,361,0,0,100
Illite (wt%),Illite,mineralogy_composition,1415,0,0,1415,0,0,100
Illite_Mica (wt%),Illite_Mica,mineralogy_composition,16,0,0,16,0,0,100
Illite_Montmorillonite (wt%),Illite_Montmorillonite,mineralogy_composition,122,0,0,122,0,0,100
Illite_Muscovite (wt%),Illite_Muscovite,mineralogy_composition,110,0,0,110,0,0,100
Illite_Smectite (wt%),Illite_Smectite,mineralogy_composition,52,0,0,52,0,0,100
Ilmenite (wt%),Ilmenite,mineralogy_composition,3,0,0,3,0,0,100
In (ppm),In,element,28336,18846,0,9490,66.51,0,33.49
Insol (wt%),Insol,mineralogy_composition,433,0,0,433,0,0,100
