batch_id,lab_batch_id,institution_name,batch_notes,num_sample,num_results,analytes
593,NULL,NULL,"CMIBS data, results from Cameron_1972_1",11,11,"Al, C, Ca, Fe, K, Mg, Mn, Na, S, Si, Ti"
594,NULL,NULL,"CMIBS data, results from Cameron_1972_2",96,93,"Hg, S, TOC, Zn"
595,NULL,NULL,"CMIBS data, results from Cameron_1980",756,728,"Ag, Al, Al2O3, As, B, Ba, Be, C, CO2, Ca, CaO, Cl, Co, Cr, Cu, F, Fe, Fe2O3, Ga, Ge, H2O_t, Hg, K, K2O, LOI, La, Li, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Ni, P, P2O5, Pb, Rb, S, Sb, Sc, Si, SiO2, Sn, Sr, Ti, TiO2, U, V, Y, Zn"
596,NULL,NULL,"CMIBS data, results from Camire_1993_2",3150,2633,"Al, Al2O3, As, Ba, Ca, CaO, Ce, Co, Cr, Cs, Cu, Eu, Fe, Fe2O3, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Rb, S, Sb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
597,NULL,NULL,"CMIBS data, results from CamposAlvarez_2007",1440,1189,"Al, Al2O3, Ba, Be, Ca, CaO, Ce, Cr, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, Sc, Si, SiO2, Sm, Sr, TIC, TOC, Ta, Tb, Th, Ti, TiO2, Tm, U, V, Y, Yb, Zr"
599,NULL,NULL,"CMIBS data, results from Caplan_1997",70060,8293,"Al, Al2O3, Ba, C, Ca, CaO, Co, Cr, Cu, Fe, Fe2O3, K, K2O, Mg, MgO, Mn, MnO, Mo, N, N_ORG, Na, Na2O, Nb, Ni, P, P2O5, Pb, Rb, S, S1, S2, S3, Si, SiO2, Sr, TOC, Ti, TiO2, Tmax, V, Y, Zn, Zr"
600,NULL,NULL,"CMIBS data, results from Chakrabarti_2007",812,392,"Ce, Dy, Er, Eu, Gd, Ho, La, Lu, Nd, Pr, Sm, Tb, Tm, Yb"
601,NULL,NULL,"CMIBS data, results from Chernyshov_2014. Chernyshov, N.M., 2014, unpublished(?)",288,288,"Al, Al2O3, Ca, CaO, Cr, Fe, Fe2O3, K, K2O, LOI, Mg, MgO, Mn, MnO, Na, Na2O, P, P2O5, S, Si, SiO2, TOC, Ti, TiO2"
602,NULL,NULL,"CMIBS data, results from Cingolani_2003",1022,896,"Al, Al2O3, As, Ba, Be, Bi, Ca, CaO, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Ge, Hf, Ho, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, Sb, Sc, Si, SiO2, Sm, Sn, Sr, Ta, Tb, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
603,NULL,NULL,"CMIBS data, results from Clarke_1980",88,88,"Al, Al2O3, Ca, CaO, Fe, Fe2O3, K, K2O, Mg, MgO, Mn, MnO, Na, Na2O, P, P2O5, Rb, Si, SiO2, Sr, Ti, TiO2"
604,NULL,NULL,"CMIBS data, results from Coveney_1983",1554,340,"Al, Ca, Cu, Fe, K, LOI, Mg, Mo, Na, Ni, P, Pb, Se, Si, TOM, Ti, U, V, Zn"
605,NULL,NULL,"CMIBS data, results from Coveney_1987",1104,348,"Al, As, Au, B, Ba, Ca, Cd, Ce, Cr, Eu, Fe, Gd, K, LOI, La, Mg, Mn, Mo, Na, Nd, Ni, P, S, Sb, Se, Si, Sm, Sr, TIC, TOC, Tb, Th, Tmax, U, V, Zn"
606,NULL,NULL,"CMIBS data, results from Coveney_1989",12719,704,"Al, Au, Ca, Cd, Cu, Fe, K, LOI, Mg, Mn, Mo, Na, P, Pb, S, Se, Si, Ti, U, V, Zn"
607,NULL,NULL,"CMIBS data, results from Coveney_1992",1075,304,"Au, Ir, Mo, Ni, Os, Pd, Pt, Re, Rh, Ru"
609,NULL,NULL,"CMIBS data, results from Cox_1995",4150,3339,"Al, Al2O3, Ba, Ca, CaO, Ce, Cr, Cu, Eu, Fe, Fe2O3, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Ni, P, P2O5, Pb, Rb, Sc, Si, SiO2, Sm, Sr, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
610,NULL,NULL,"CMIBS data, results from Cox_1998",782,592,"Al, Al2O3, Ba, Ca, CaO, Ce, Cr, Eu, Fe, Fe2O3, H2O_m, K, K2O, LOI, La, Mg, MgO, Mn, MnO, Na, Na2O, Nd, P, P2O5, Sc, Si, SiO2, Sm, Sr, Tb, Th, Ti, TiO2, U, V, Yb, Zr"
