website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Hf (ppm),Hf,element,15636,347,0,15289,2.22,0,97.78
Hf-carb (ppm),Hf-carb,carbonate_proxy,299,93,0,206,31.1,0,68.9
Hg (ppm),Hg,element,3580,330,0,3250,9.22,0,90.78
Ho (ppm),Ho,element,8446,70,0,8376,0.83,0,99.17
Ho-carb (ppm),Ho-carb,carbonate_proxy,875,0,0,875,0,0,100
HREE (ppm),HREE,element,59,0,0,59,0,0,100
HREE-carb (ppm),HREE-carb,carbonate_proxy,55,0,0,55,0,0,100
I/[Ca+Mg],I/[Ca+Mg],carbonate_proxy,596,0,0,596,0,0,100
I/Ca,I/Ca,carbonate_proxy,361,0,0,361,0,0,100
Illite (wt%),Illite,mineralogy_composition,469,0,0,469,0,0,100
Illite_Muscovite (wt%),Illite_Muscovite,mineralogy_composition,110,0,0,110,0,0,100
Illite_Smectite (wt%),Illite_Smectite,mineralogy_composition,47,0,0,47,0,0,100
In (ppm),In,element,10400,2755,0,7645,26.49,0,73.51
Insol (wt%),Insol,mineralogy_composition,430,0,0,430,0,0,100
Ir (ppm),Ir,element,126,15,0,111,11.9,0,88.1
Jarosite (wt%),Jarosite,mineralogy_composition,229,0,0,229,0,0,100
K (wt%),"K, K2O",element,23142,157,5,22980,0.68,0.02,99.3
K-carb (wt%),K-carb,carbonate_proxy,164,0,0,164,0,0,100
K-Feldspar (wt%),K-Feldspar,mineralogy_composition,1240,4,0,1236,0.32,0,99.68
K/Al-mica (wt%),K/Al-mica,mineralogy_composition,117,0,0,117,0,0,100
K/Mg-mica (wt%),K/Mg-mica,mineralogy_composition,615,2,0,613,0.33,0,99.67
Kaolinite (wt%),Kaolinite,mineralogy_composition,927,0,0,927,0,0,100
La (ppm),La,element,19471,199,10,19262,1.02,0.05,98.93
La-carb (ppm),La-carb,carbonate_proxy,941,0,0,941,0,0,100
Li (ppm),Li,element,12053,128,0,11925,1.06,0,98.94
Li-carb (ppm),Li-carb,carbonate_proxy,299,0,0,299,0,0,100
LOI (wt%),LOI,mineralogy_composition,6389,103,0,6286,1.61,0,98.39
LREE (ppm),LREE,element,94,0,0,94,0,0,100
LREE-carb (ppm),LREE-carb,carbonate_proxy,55,0,0,55,0,0,100
Lu (ppm),Lu,element,8998,122,0,8876,1.36,0,98.64
Lu-carb (ppm),Lu-carb,carbonate_proxy,875,19,0,856,2.17,0,97.83
Magnesite (wt%),Magnesite,mineralogy_composition,22,0,0,22,0,0,100
Magnetite (wt%),Magnetite,mineralogy_composition,318,0,0,318,0,0,100
Mg (wt%),"Mg, MgO",element,22875,164,13,22698,0.72,0.06,99.23
Mg-carb (wt%),Mg-carb,carbonate_proxy,2208,0,0,2208,0,0,100
Mica (wt%),Mica,mineralogy_composition,142,0,0,142,0,0,100
Mn (ppm),"Mn, MnO, MnO2",element,26114,973,5,25136,3.73,0.02,96.25
Mn-carb (ppm),Mn-carb,carbonate_proxy,2383,0,0,2383,0,0,100
Mo (ppm),Mo,element,29611,1564,0,28047,5.28,0,94.72
Mo-carb (ppm),Mo-carb,carbonate_proxy,837,6,0,831,0.72,0,99.28
Montmorillonite (wt%),Montmorillonite,mineralogy_composition,114,0,0,114,0,0,100
