"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"argillite",NULL,NULL,NULL,"argillite;DIRTY QUARTZITE-META ARGILLITE;  massive; micaceous;"
"argillite",NULL,NULL,NULL,"argillite;DK & MINOR MED DK GRAY SHALY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DK & MINOR MED. DK GRAY SHALY SILTITE-ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;DK GRAY SHALY ARGILLITE-SILTITE"
"argillite",NULL,NULL,NULL,"argillite;DK-TO MED-DK GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;FE & CALCITE VEINED ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;FE-MNRLZD ARGILLITE 2 M EAST OF 90-47B"
"argillite",NULL,NULL,NULL,"argillite;Fe stained argillite"
"argillite",NULL,NULL,NULL,"argillite;GRAY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;GRAY ARGILLITE; UPPER HALF"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE, TRACE CU-S; UNIT D?"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE, TRACE CU-S?; LOWER HALF"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE, TRACE CU-S?; UNIT C"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE;"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE; LOWER HALF"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE; MIDDLE? EMPIRE"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE; UNIT A"
"argillite",NULL,NULL,NULL,"argillite;GREEN ARGILLITE; UPPER HALF"
"argillite",NULL,NULL,NULL,"argillite;GREEN CALCAREOUS ARGILLITE;  calcareous;"
"argillite",NULL,NULL,NULL,"argillite;GREEN CALCAREOUS ARGILLITE; LOWER HALF;  calcareous;"
"argillite",NULL,NULL,NULL,"argillite;GREEN CALCAREOUS ARGILLITE; UNIT B;  calcareous;"
"argillite",NULL,NULL,NULL,"argillite;GREEN CALCAREOUS ARGILLITE; UNIT E;  calcareous;"
"argillite",NULL,NULL,NULL,"argillite;GREEN CALCAREOUS ARGILLITE; UPPER HALF;  calcareous;"
"argillite",NULL,NULL,NULL,"argillite;GREEN DOLOMITIC ARGILLITE; UNIT E?;  dolomitic;"
"argillite",NULL,NULL,NULL,"argillite;LOC. 15 SAMPLE #1.  GREY ARGILLITE;"
"argillite",NULL,NULL,NULL,"argillite;LOC. 15 SAMPLE #2.  GREY ARGILLITE;"
"argillite",NULL,NULL,NULL,"argillite;LOC. 9.  BLACK ARGILLITE;"
"argillite",NULL,NULL,NULL,"argillite;MED DK GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;MED-DK-TO DK-GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;MED. DARK GRAY BARITIC ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;MED. DARK GRAY SILICIFIED ARGILLITE-SILTITE"
"argillite",NULL,NULL,NULL,"argillite;MED. DK GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;MEDIUM-GRAY SHALY LIMY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;MOSTLY DARK-GRAY SILICIFIED ARGILLITE.  TOP 30M OF FM."
"argillite",NULL,NULL,NULL,"argillite;MOSTLY DK. GRAY TO MED. DK. GRAY SHALY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;NULL"
"argillite",NULL,NULL,NULL,"argillite;OLIVE-BLACK BLOCKY ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;OLIVE-BLACK LAM. SILICIFIED ARGILLITE-SILTITE;  clastic; carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;OLIVE-GRAY CHERT OR SILICIFIED ARGILLITE W/SULFIDES;  clastic; carbonaceous (organic);"
"argillite",NULL,NULL,NULL,"argillite;PURPLE ARGILLITE; LOWER HALF"
"argillite",NULL,NULL,NULL,"argillite;PURPLE ARGILLITE; UNIT D ?"
"argillite",NULL,NULL,NULL,"argillite;PURPLE ARGILLITE; UNIT D?"
"argillite",NULL,NULL,NULL,"argillite;PURPLE ARGILLITE; UPPER HALF"
"argillite",NULL,NULL,NULL,"argillite;PURPLE DOLOMITIC ARGILLITE; UNIT E;  dolomitic;"
"argillite",NULL,NULL,NULL,"argillite;PURPLE DOLOMITIC? ARGILLITE; UNIT E?;  dolomitic;"
"argillite",NULL,NULL,NULL,"argillite;PURPLE? ARGILLITE; UNIT D?"
"argillite",NULL,NULL,NULL,"argillite;PURPLE\\GREEN ARGILLITE; UPPER HALF"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE"
"argillite",NULL,NULL,NULL,"argillite;RED ARGILLITE OLYMPIC PENINSULA;  massive;"
